BenchmarkResourceArgs_MarshalEasyJSON-4                   	  300000	      4765 ns/op	    1921 B/op	       6 allocs/op
BenchmarkResourceArgs_MarshalEasyJSON-4                   	  300000	      4798 ns/op	    1921 B/op	       6 allocs/op
BenchmarkResourceArgs_MarshalEasyJSON-4                   	  300000	      4749 ns/op	    1921 B/op	       6 allocs/op
BenchmarkResourceArgs_MarshalEasyJSON-4                   	  300000	      4817 ns/op	    1921 B/op	       6 allocs/op
BenchmarkResourceArgs_MarshalEasyJSON-4                   	  300000	      4775 ns/op	    1921 B/op	       6 allocs/op
BenchmarkResourceArgs_MarshalEasyJSON-4                   	  300000	      4802 ns/op	    1921 B/op	       6 allocs/op
BenchmarkNewFetchHTTP_Parallel-4                          	   50000	     28049 ns/op	   65713 B/op	      39 allocs/op
BenchmarkNewFetchHTTP_Parallel-4                          	   50000	     27870 ns/op	   65711 B/op	      39 allocs/op
BenchmarkNewFetchHTTP_Parallel-4                          	   50000	     28223 ns/op	   65711 B/op	      39 allocs/op
BenchmarkNewFetchHTTP_Parallel-4                          	   50000	     28480 ns/op	   65711 B/op	      39 allocs/op
BenchmarkNewFetchHTTP_Parallel-4                          	   50000	     28037 ns/op	   65711 B/op	      39 allocs/op
BenchmarkNewFetchHTTP_Parallel-4                          	   50000	     27903 ns/op	   65711 B/op	      39 allocs/op
BenchmarkNewFetchHTTP_Parallel-4                          	   50000	     29690 ns/op	   65711 B/op	      39 allocs/op
BenchmarkNewFetchHTTP_Parallel-4                          	   50000	     28266 ns/op	   65711 B/op	      39 allocs/op
BenchmarkNewFetchHTTP_Parallel-4                          	   50000	     27323 ns/op	   65711 B/op	      39 allocs/op
BenchmarkNewFetchHTTP_Parallel-4                          	   50000	     28903 ns/op	   65711 B/op	      39 allocs/op
BenchmarkNewFetchShellExec_Parallel-4                     	     500	   3809495 ns/op	   33916 B/op	     137 allocs/op
BenchmarkNewFetchShellExec_Parallel-4                     	     500	   3594505 ns/op	   34186 B/op	     137 allocs/op
BenchmarkNewFetchShellExec_Parallel-4                     	     500	   3644879 ns/op	   34327 B/op	     137 allocs/op
BenchmarkNewFetchShellExec_Parallel-4                     	     500	   3607096 ns/op	   34048 B/op	     137 allocs/op
BenchmarkNewFetchShellExec_Parallel-4                     	     500	   3619905 ns/op	   34052 B/op	     137 allocs/op
BenchmarkNewFetchShellExec_Parallel-4                     	     300	   3601104 ns/op	   35681 B/op	     138 allocs/op
BenchmarkNewFetchShellExec_Parallel-4                     	     500	   3610328 ns/op	   33916 B/op	     137 allocs/op
BenchmarkNewFetchShellExec_Parallel-4                     	     500	   3683747 ns/op	   34603 B/op	     138 allocs/op
BenchmarkNewFetchShellExec_Parallel-4                     	     300	   3630525 ns/op	   36357 B/op	     138 allocs/op
BenchmarkNewFetchShellExec_Parallel-4                     	     500	   3628904 ns/op	   33910 B/op	     137 allocs/op
PASS
ok  	github.com/SchumacherFM/caddyesi/backend	147.413s
